ev_id,damage,cert_max_gr_wt,afm_hrs_last_insp,ev_dow,ev_time,ev_year,ev_month,ev_nr_apt_loc,apt_dist,apt_elev,light_cond,sky_cond_nonceil,sky_nonceil_ht,sky_ceil_ht,sky_cond_ceil,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,wx_cond_basic,dec_latitude,dec_longitude,crew_no,crew_age,med_certf,med_crtf_vldty,crew_tox_perf,severity_class
20080305X00266,SUBS,,,Fr,1620.0,2008,2,ONAP,0.0,,DAYL,FEW,3000.0,4200.0,BKN,10.0,75.0,68.0,0.0,4.0,0.0,30.309999465942383,NONE,VMC,28.438055,-81.31472,1,48.0,CL3,,N,SUBS-NONE
20080229X00249,SUBS,,,Th,1545.0,2008,1,,0.0,,,FEW,10000.0,0.0,NONE,10.0,79.0,70.0,220.0,5.0,0.0,30.1200008392334,NONE,VMC,-0.926666,-79.34333,1,,,,N,SUBS-NONE
20080326X00388,SUBS,2800.0,20.0,Fr,1800.0,2008,2,ONAP,0.0,1401.0,DAYL,CLER,0.0,0.0,NONE,10.0,28.0,25.0,0.0,,0.0,29.639999389648438,NONE,VMC,45.462776,-69.551391,1,68.0,CL3,WWL,N,SUBS-NONE
20080220X00220,SUBS,5400.0,,We,1615.0,2008,1,ONAP,0.0,413.0,DAYL,CLER,0.0,0.0,NONE,10.0,19.0,10.0,220.0,6.0,0.0,30.219999313354492,NONE,VMC,38.570556,-90.156112,1,26.0,CL2,WOWL,N,SUBS-NONE
20080318X00325,SUBS,2300.0,100.0,Mo,1800.0,2008,3,ONAP,0.0,619.0,DAYL,CLER,0.0,0.0,NONE,10.0,54.0,43.0,0.0,,0.0,30.229999542236328,NONE,VMC,34.158889,-85.634445,1,20.0,CL3,WWL,N,SUBS-NONE
20080222X00228,DEST,3600.0,86.0,Sa,1628.0,2008,2,ONAP,0.0,30.0,DAYL,,100.0,100.0,BKN,0.25,34.0,34.0,240.0,3.0,0.0,30.350000381469727,FATL,IMC,45.583889,-122.618057,1,62.0,CL2,WWL,Y,DEST-FATL
20080322X00367,SUBS,,,Th,2015.0,2008,1,OFAP,0.0,,DAYL,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,NONE,IMC,32.380001,-88.705558,1,65.0,CL2,,N,SUBS-NONE
20080322X00365,SUBS,2300.0,,Th,1945.0,2008,2,ONAP,0.0,,DAYL,CLER,0.0,0.0,NONE,10.0,59.0,28.0,130.0,3.0,0.0,30.209999084472656,NONE,VMC,29.694444,-82.275001,1,27.0,CL1,WWL,N,SUBS-NONE
20080225X00234,SUBS,1450.0,,Sa,2100.0,2008,2,ONAP,0.0,4457.0,DAYL,FEW,1700.0,5500.0,BKN,10.0,43.0,34.0,150.0,5.0,0.0,29.920000076293945,NONE,VMC,41.79111,-111.851387,1,26.0,CL1,WOWL,N,SUBS-NONE
20080516X00689,SUBS,2100.0,,Th,2245.0,2008,2,ONAP,0.0,,DAYL,CLER,0.0,3000.0,OVC,10.0,73.0,64.0,190.0,5.0,0.0,30.040000915527344,NONE,VMC,21.579444,-158.197219,1,47.0,CL1,,N,SUBS-NONE
20080313X00311,SUBS,,,Su,2030.0,2008,2,ONAP,0.0,,DAYL,CLER,0.0,0.0,NONE,12.0,57.0,43.0,0.0,,0.0,30.1299991607666,NONE,VMC,32.82611,-116.972503,1,52.0,CL3,,N,SUBS-NONE
20080313X00312,SUBS,3400.0,,Su,2100.0,2008,2,ONAP,0.0,2932.0,DAYL,CLER,0.0,0.0,NONE,10.0,43.0,34.0,0.0,,0.0,30.200000762939453,NONE,VMC,48.189331,-114.379898,1,38.0,CL3,,N,SUBS-NONE
